          gre       gpa  rank_1  rank_2  rank_3  rank_4
106  0.972155  0.446965       1       0       0       0
9    0.972155  1.392922       0       1       0       0
61  -0.239793 -0.183673       0       0       0       1
224  1.837832 -1.287291       0       1       0       0
37  -0.586063 -1.287291       0       0       1       0
242  0.799020 -1.129631       0       0       1       0
313 -0.586063  0.683454       0       0       0       1
52   1.318426 -0.052290       0       0       0       1
347 -0.066657  1.077603       0       1       0       0
239  0.972155  0.157922       0       0       1       0
314 -0.412928  0.184199       0       0       0       1
99  -1.624876 -0.209950       0       0       1       0
209 -0.066657  0.289305       0       1       0       0
311  0.625884  0.736008       0       1       0       0
326  0.799020 -0.209950       0       1       0       0
136 -0.239793 -0.157397       0       0       0       1
372  0.799020 -2.548567       1       0       0       0
16   1.664697  1.261539       0       0       0       1
266 -0.239793 -0.393886       0       0       0       1
164 -0.066657 -0.236227       0       1       0       0
175  0.279614 -0.052290       0       1       0       0
149  1.318426 -0.209950       1       0       0       0
119 -2.144282 -1.234737       0       0       1       0
51  -1.278605 -0.682929       0       0       0       1
341 -0.239793 -1.944205       0       0       1       0
89   0.625884  1.603135       0       1       0       0
211 -0.066657 -0.971971       0       1       0       0
393  0.279614  0.946220       0       1       0       0
47  -0.759199 -1.103354       0       0       0       1
174 -0.759199  0.368135       0       0       0       1
141  0.972155  0.341859       0       0       0       1
40  -0.239793 -2.548567       0       1       0       0
82  -0.759199 -1.786546       0       1       0       0
20  -0.759199 -0.577822       0       0       1       0
135 -0.759199  0.473242       0       0       1       0
187 -0.066657 -1.339844       0       1       0       0
115  0.279614  1.576859       0       0       1       0
96   0.452749  0.341859       0       0       0       1
374 -0.239793  1.025050       0       1       0       0
156 -0.239793 -2.285801       0       1       0       0
243  0.279614 -0.446439       0       1       0       0
11  -1.278605 -0.446439       1       0       0       0
70   0.452749  1.603135       0       0       1       0
55   1.318426  1.603135       0       0       1       0
192  0.452749  0.972497       0       0       1       0
72  -0.932334  0.000263       0       0       0       1
66   1.318426  0.604625       0       0       0       1
262 -0.586063 -0.525269       0       0       1       0
333 -0.239793  0.105369       0       0       1       0
378  0.452749 -0.709205       0       0       1       0
296 -0.239793 -0.604099       1       0       0       0
213  0.452749 -0.026014       0       0       1       0
130  0.279614 -0.577822       0       1       0       0
179 -2.490553 -0.998248       0       0       1       0
343 -0.066657 -0.866865       0       1       0       0
388  0.452749 -0.577822       0       1       0       0
323 -1.451740 -1.839099       0       1       0       0
354 -0.412928  1.025050       0       1       0       0
134 -0.239793 -1.155908       0       1       0       0
168 -0.759199  1.603135       0       0       1       0
200  1.837832 -0.209950       0       0       1       0
360 -0.586063  1.603135       1       0       0       0
389  0.452749  0.315582       0       1       0       0
59   0.106478 -1.497503       0       0       0       1
288  1.837832 -0.630376       0       0       0       1
247 -1.278605 -0.577822       0       1       0       0
249  0.452749  0.893667       0       0       1       0
170 -1.624876  0.315582       0       0       1       0
185  1.837832  0.552071       0       1       0       0
300  0.452749 -0.236227       0       1       0       0
142  0.279614  1.445476       0       0       0       1
92   1.837832  1.340369       0       1       0       0
228 -0.932334  0.105369       0       1       0       0
127  1.318426  0.919944       0       0       0       1
284 -1.278605  0.000263       0       1       0       0
45  -1.105469  0.157922       0       0       1       0
359  1.145291  1.445476       0       0       1       0
351  0.279614  0.105369       0       0       1       0
186 -0.239793  0.578348       0       0       1       0
362  0.799020 -0.656652       0       1       0       0
191  1.837832  0.394412       0       0       1       0
278  0.799020 -1.024525       0       0       0       1
272  0.799020  0.736008       0       1       0       0
128 -0.412928 -0.525269       0       1       0       0
285  0.106478 -0.209950       0       0       0       1
104  0.625884  1.471752       0       1       0       0
195 -0.239793  0.525795       0       1       0       0
6   -0.239793 -1.077078       1       0       0       0
203 -1.451740  1.392922       0       0       0       1
77   1.837832  1.603135       0       0       1       0
166 -1.278605 -0.393886       0       0       0       1
340 -0.759199 -0.420163       0       0       0       1
352 -0.066657 -0.709205       0       0       1       0
24   1.491561 -0.104844       0       1       0       0
316 -2.144282 -1.024525       0       1       0       0
4   -0.586063 -1.208461       0       0       0       1
165  0.972155  1.603135       1       0       0       0
93  -0.066657 -1.208461       0       1       0       0
289 -1.451740 -2.968993       0       0       0       1
365 -0.932334 -1.602610       0       0       1       0
145 -1.798011  0.105369       0       0       1       0
216 -2.144282 -1.287291       1       0       0       0
377  1.837832  1.603135       0       1       0       0
176 -0.586063 -2.023035       0       1       0       0
91   1.145291  0.657178       1       0       0       0
320 -1.105469 -0.656652       0       0       1       0
155 -0.066657 -1.392397       0       0       0       1
302 -1.624876 -0.630376       0       1       0       0
321 -1.105469  0.499518       0       1       0       0
196  0.625884 -0.840588       0       0       1       0
244 -0.412928 -0.919418       1       0       0       0
143 -0.066657  0.026539       0       0       1       0
19  -0.412928  1.103880       1       0       0       0
269 -0.759199 -1.523780       0       0       1       0
152  0.452749  1.445476       0       1       0       0
23   0.799020 -0.525269       0       0       0       1
157 -0.932334  0.499518       1       0       0       0
349  0.279614 -1.418674       0       1       0       0
255  0.452749 -0.104844       0       0       1       0
180  0.279614  1.025050       0       0       1       0
113  0.106478 -0.446439       1       0       0       0
26   0.279614  0.578348       1       0       0       0
178  0.279614 -0.157397       0       0       1       0
95   0.625884 -0.157397       0       1       0       0
29  -0.586063 -0.262503       1       0       0       0
57  -1.798011 -1.182184       0       0       1       0
270  0.452749  1.471752       0       1       0       0
319 -0.412928 -0.288780       1       0       0       0
44   0.972155 -1.182184       0       1       0       0
53   0.799020 -0.315056       0       1       0       0
102 -1.798011 -0.157397       0       0       0       1
76  -0.239793 -0.078567       0       0       1       0
199 -0.066657  0.998773       0       0       0       1
97  -0.932334  0.473242       0       1       0       0
86   0.106478 -0.183673       0       1       0       0
46  -0.066657  0.184199       0       1       0       0
198  0.106478  0.630901       0       0       1       0
329 -0.759199 -1.208461       0       0       0       1
30  -0.412928  1.025050       0       0       0       1
223  1.837832  0.210476       0       0       1       0
182  0.972155  1.603135       0       1       0       0
276 -1.105469  0.998773       0       0       1       0
385 -1.451740 -0.971971       1       0       0       0
232 -1.798011 -0.026014       0       1       0       0
60   0.279614 -0.551546       0       1       0       0
258 -0.586063  0.315582       0       1       0       0
380  0.972155  0.683454       0       1       0       0
124  1.145291  1.287816       0       0       1       0
384 -0.932334 -2.023035       0       1       0       0
376  0.279614  0.630901       0       1       0       0
335  0.279614  0.841114       1       0       0       0
212 -1.105469 -1.366120       0       1       0       0
163 -0.586063 -1.733993       0       1       0       0
219 -0.239793  0.525795       0       1       0       0
159  0.972155  1.130156       0       0       1       0
294 -0.932334 -2.206971       1       0       0       0
234  1.837832  0.368135       1       0       0       0
190  0.452749 -1.182184       0       1       0       0
215  0.625884 -1.261014       0       0       1       0
201 -0.066657 -0.498993       0       1       0       0
265 -1.798011 -0.131120       0       0       1       0
208 -0.412928 -0.604099       0       0       1       0
88   0.972155 -0.288780       1       0       0       0
129 -1.105469 -0.630376       0       0       0       1
231  0.106478 -0.288780       0       0       1       0
337  0.279614 -0.788035       0       0       0       1
56  -0.239793 -0.525269       0       0       1       0
279  0.625884 -0.656652       0       1       0       0
25   1.837832  0.709731       1       0       0       0
62   0.452749  0.736008       0       0       1       0
275  0.106478 -1.077078       0       1       0       0
381 -0.412928  0.263029       0       1       0       0
336 -0.586063 -0.630376       0       0       1       0
73  -0.066657  1.603135       0       1       0       0
39  -0.586063 -1.865376       0       0       1       0
117  0.972155  0.867390       0       1       0       0
15  -0.932334  0.131646       0       0       1       0
214  0.106478  0.446965       0       1       0       0
105  1.318426 -1.103354       0       1       0       0
74   1.145291  0.157922       0       0       0       1
21   0.625884  0.630901       0       1       0       0
225  1.145291  0.289305       0       0       1       0
264 -0.586063  1.340369       0       0       1       0
17  -1.971146 -2.180695       0       0       1       0
150  1.837832  0.919944       1       0       0       0
116 -1.278605  0.157922       0       1       0       0
391  0.625884  1.287816       0       1       0       0
331  0.625884  0.525795       0       0       1       0
138  0.279614  0.026539       0       1       0       0
173  1.837832  0.105369       0       1       0       0
111 -1.451740  0.052816       0       0       0       1
7   -1.624876 -0.814312       0       1       0       0
78  -0.412928 -0.709205       1       0       0       0
123 -0.759199 -1.077078       0       0       1       0
277 -0.066657  0.499518       1       0       0       0
290  0.279614  0.157922       0       1       0       0
87   0.106478  0.236752       0       1       0       0
109 -0.932334  0.157922       0       1       0       0
83  -1.798011 -1.261014       0       0       0       1
177  0.279614 -0.420163       0       0       1       0
357  1.145291 -0.209950       1       0       0       0
75   1.145291  1.603135       0       0       1       0
369  1.837832  1.314093       0       1       0       0
2    1.837832  1.603135       1       0       0       0
252 -0.586063  1.603135       0       1       0       0
42   0.106478 -0.630376       0       1       0       0
79   0.279614  1.603135       1       0       0       0
13   0.972155 -0.814312       0       1       0       0
85  -0.586063 -1.077078       0       1       0       0
263  0.279614  1.471752       0       0       1       0
251  0.279614 -0.472716       0       0       0       1
222 -0.932334 -0.971971       1       0       0       0
197 -1.624876 -0.420163       0       0       0       1
292  0.799020  0.814837       0       1       0       0
344 -0.586063 -0.104844       0       0       1       0
397 -1.105469 -1.996759       0       1       0       0
392  0.106478 -0.026014       0       0       1       0
147 -0.239793 -1.786546       0       0       1       0
139  0.106478  0.499518       1       0       0       0
353  0.972155  0.341859       0       1       0       0
22   0.106478 -1.497503       0       0       0       1
283 -0.586063 -0.761759       0       0       0       1
100 -2.144282 -0.630376       0       0       1       0
318 -0.932334  0.841114       0       0       0       1
390  1.837832 -0.893142       0       1       0       0
54   0.625884 -0.131120       0       0       1       0
69   1.837832  0.893667       1       0       0       0
298 -0.412928  0.289305       0       1       0       0
12   1.491561  1.603135       1       0       0       0
361 -0.412928  0.263029       1       0       0       0
172  0.799020  0.236752       0       0       1       0
154  0.279614  0.788561       0       0       1       0
131  0.452749 -1.576333       0       1       0       0
379 -0.412928 -1.812822       0       1       0       0
364 -0.239793 -0.078567       1       0       0       0
14   0.972155  1.603135       1       0       0       0
114  1.145291  1.182710       0       0       1       0
146 -0.932334  0.026539       0       1       0       0
217 -1.105469  0.657178       1       0       0       0
297 -1.105469 -0.840588       0       1       0       0
366 -1.105469 -1.208461       0       0       1       0
31   1.491561 -0.104844       0       0       1       0
90   0.972155  1.156433       0       1       0       0
210  1.318426 -0.131120       0       0       0       1
226  0.279614  0.499518       0       1       0       0
35  -1.624876 -0.893142       0       1       0       0
367  0.279614  0.630901       0       0       1       0
140  0.452749  1.419199       0       1       0       0
101 -0.066657  0.473242       0       0       1       0
256 -0.586063 -0.236227       0       1       0       0
167  1.145291  0.998773       0       0       1       0
43  -0.759199 -0.209950       0       0       1       0
